step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
88	1.0328544e-03	3.1146248e-04	6.0160787e-03	-3.3355253e-08	7.7164480e-19	-1.0418880e-21	-2.3853418e-19	3.2432140e-09
89	1.0569551e-03	3.1146248e-04	5.9571910e-03	-3.3244523e-08	-1.6471660e-18	3.7502663e-21	-2.3028428e-20	3.2317081e-09
90	1.0813504e-03	3.1146248e-04	5.8993626e-03	-3.3101884e-08	-7.6033569e-19	2.4703179e-21	2.4721008e-19	3.2217088e-09
91	1.1060427e-03	3.1146248e-04	5.8425750e-03	-3.2944605e-08	2.7956726e-18	-3.5301032e-21	1.8086451e-19	3.2149425e-09
92	1.1310338e-03	3.1146248e-04	5.7868095e-03	-3.2765676e-08	-1.2522820e-18	7.7281098e-22	-7.3117940e-20	3.2075155e-09
93	1.1563257e-03	3.1146248e-04	5.7320474e-03	-3.2506747e-08	1.4368628e-19	1.2303272e-21	-3.2581533e-20	3.1998950e-09
94	1.1819203e-03	3.1146248e-04	5.6805866e-03	-3.2192496e-08	6.2725170e-19	-2.4060258e-23	1.1642956e-19	3.1949780e-09
95	1.2078061e-03	3.1146248e-04	5.6291453e-03	-3.1797063e-08	1.3020623e-18	2.8966972e-21	-1.1800728e-19	3.1822440e-09
96	1.2339816e-03	3.1146248e-04	5.5776953e-03	-3.1322377e-08	-1.3718220e-18	-1.5384791e-21	-3.2825094e-20	3.1663690e-09
97	1.2604493e-03	3.1146248e-04	5.5268643e-03	-3.0791468e-08	1.1684671e-18	7.8174883e-22	2.5773663e-20	3.1502763e-09
98	1.2872117e-03	3.1146248e-04	5.4768256e-03	-3.0236109e-08	1.3005476e-18	4.4441219e-22	-1.3052966e-19	3.1345979e-09
99	1.3142715e-03	3.1146248e-04	5.4276186e-03	-2.9664020e-08	-1.2119933e-18	-1.3081432e-21	3.1131607e-19	3.1193418e-09
100	1.3416311e-03	3.1146248e-04	5.3835288e-03	-2.9107555e-08	1.7583646e-18	-1.2022656e-21	6.8345647e-19	3.1115992e-09
101	1.3692654e-03	3.1146248e-04	5.3757470e-03	-2.8731512e-08	-1.3246805e-18	-1.0998447e-22	1.7707087e-19	3.1544894e-09
102	1.3969278e-03	3.1146248e-04	5.3435525e-03	-2.7878676e-08	1.4980532e-18	3.7410249e-21	4.7956748e-19	3.0693048e-09
103	1.4246197e-03	3.1146248e-04	5.3045819e-03	-2.6493219e-08	1.0423566e-18	3.5840516e-22	4.3302153e-20	2.9768956e-09
104	1.4523427e-03	3.1146248e-04	5.2641963e-03	-2.4899499e-08	-5.4475579e-19	3.1094925e-21	-3.0508091e-19	2.8955196e-09
105	1.4800978e-03	3.1146248e-04	5.2238615e-03	-2.3278626e-08	1.1126662e-18	1.6673777e-21	-5.0487098e-23	2.8258466e-09
106	1.5078862e-03	3.1146248e-04	5.1840061e-03	-2.1741511e-08	-1.6790242e-18	2.0183267e-22	-5.9694682e-20	2.7680783e-09
107	1.5357089e-03	3.1146248e-04	5.1447748e-03	-2.0329187e-08	-2.0067107e-18	7.2870102e-22	3.1567452e-19	2.7191829e-09
108	1.5635666e-03	3.1146248e-04	5.1062235e-03	-1.9036135e-08	3.8753896e-19	-3.2422183e-22	-6.5778378e-20	2.6775195e-09
109	1.5914600e-03	3.1146248e-04	5.0683750e-03	-1.7842157e-08	6.4159241e-19	-8.1758037e-23	9.4189598e-20	2.6412536e-09
110	1.6193897e-03	3.1146248e-04	5.0312365e-03	-1.6758289e-08	7.8204515e-20	-5.3873653e-22	-2.8481034e-20	2.6091336e-09
111	1.6473563e-03	3.1146248e-04	4.9948073e-03	-1.5760769e-08	9.6066850e-19	2.3647153e-21	-9.8134297e-21	2.5797100e-09
112	1.6753600e-03	3.1146248e-04	4.9625551e-03	-1.4853610e-08	4.8891706e-19	3.4966260e-22	1.3543164e-19	2.5589187e-09
113	1.7033766e-03	3.1146248e-04	4.9299940e-03	-1.3971896e-08	-1.3424519e-19	-1.9068247e-23	1.0148094e-19	2.5314653e-09
